序號,答案
20240224150001,16.01
20240224151001,17.44
20240224152001,11.42
20240224153001,8.17
20240224154001,6.43
20240224155001,6.19
20240224160001,4.23
20240224161001,3.18
20240224162001,2.13
20240224163001,1.35
20240224164001,1.71
20240224165001,1.32
20240226090001,42.47
20240226091001,75.63
20240226092001,64.14
20240226093001,58.77
20240226094001,73.77
20240226095001,95.77
20240226100001,88.68
20240226101001,72.32
20240226102001,101.45
20240226103001,106.51
20240226104001,125.09
20240226105001,131.12
20240226110001,156.99
20240226111001,124.84
20240226112001,91.53
20240226113001,69.76
20240226114001,76.21
20240226115001,70.17
20240226120001,73.75
20240226121001,68.53
20240226122001,76.53
20240226123001,85.38
20240226124001,76.39
20240226125001,69.27
20240226130001,55.36
20240226131001,49.41
20240226132001,45.5
20240226133001,50.44
20240226134001,51.05
20240226135001,47.27
20240226140001,35.05
20240226141001,24.73
20240226142001,24.63
20240226143001,21.3
20240226144001,13.63
20240226145001,16.97
20240226150001,14.84
20240226151001,13.1
20240226152001,9.95
20240226153001,7.77
20240226154001,7.37
20240226155001,5.8
20240226160001,4.57
20240226161001,3.78
20240226162001,3.55
20240226163001,2.36
20240226164001,2.04
20240226165001,1.73
20240327090001,177.86
20240327091001,190.75
20240327092001,203.38
20240327093001,224.71
20240327094001,317.67
20240327095001,425.21
20240327100001,548.4
20240327101001,654.75
20240327102001,710.53
20240327103001,606.73
20240327104001,896.79
20240327105001,865.3
20240327110001,737.81
20240327111001,688.65
20240327112001,543.92
20240327113001,411.02
20240327114001,313.54
20240327115001,248.22
20240327120001,256.88
20240327121001,226.18
20240327122001,189.93
20240327123001,177.41
20240327124001,147.5
20240327125001,149.6
20240327130001,137.25
20240327131001,100.55
20240327132001,49.18
20240327133001,56.71
20240327134001,59.26
20240327135001,21.15
20240327140001,23.92
20240327141001,30.99
20240327142001,28.87
20240327143001,22.98
20240327144001,17.88
20240327145001,19.08
20240327150001,16.71
20240327151001,15.65
20240327152001,13.64
20240327153001,11.72
20240327154001,11.49
20240327155001,8.88
20240327160001,7.14
20240327161001,5.97
20240327162001,5.53
20240327163001,4.62
20240327164001,4.53
20240327165001,3.47
20240329090001,69.25
20240329091001,45.78
20240329092001,32.43
20240329093001,29.84
20240329094001,33.9
20240329095001,31.21
20240329100001,31.73
20240329101001,29.41
20240329102001,11.86
20240329103001,13.79
20240329104001,16.3
20240329105001,35.9
20240329110001,27.63
20240329111001,8.32
20240329112001,3.11
20240329113001,5.74
20240329114001,2.14
20240329115001,6.35
20240329120001,20.99
20240329121001,32.66
20240329122001,14.9
20240329123001,9.09
20240329124001,11.44
20240329125001,27.75
20240329130001,24.44
20240329131001,14.41
20240329132001,19.34
20240329133001,17.86
20240329134001,23.36
20240329135001,21.03
20240329140001,19.65
20240329141001,23.65
20240329142001,25.75
20240329143001,22.63
20240329144001,19.34
20240329145001,19.84
20240329150001,15.82
20240329151001,14.66
20240329152001,12.91
20240329153001,12.67
20240329154001,14.0
20240329155001,9.76
20240329160001,8.84
20240329161001,6.13
20240329162001,5.58
20240329163001,4.69
20240329164001,3.1
20240329165001,2.8
20240428090001,227.98
20240428091001,297.23
20240428092001,132.85
20240428093001,56.55
20240428094001,44.56
20240428095001,31.03
20240428100001,39.74
20240428101001,131.86
20240428102001,381.42
20240428103001,483.51
20240428104001,930.24
20240428105001,585.37
20240428110001,651.22
20240428111001,902.25
20240428112001,911.33
20240428113001,413.48
20240428114001,323.15
20240428115001,300.0
20240428120001,386.31
20240428121001,377.62
20240428122001,241.14
20240428123001,288.95
20240428124001,257.27
20240428125001,129.18
20240428130001,104.69
20240428131001,83.65
20240428132001,69.5
20240428133001,80.87
20240428134001,66.49
20240428135001,52.59
20240428140001,44.61
20240428141001,48.94
20240428142001,68.94
20240428143001,97.48
20240428144001,130.53
20240428145001,113.33
20240428150001,144.79
20240428151001,279.94
20240428152001,171.74
20240428153001,112.11
20240428154001,104.17
20240428155001,137.11
20240428160001,118.44
20240428161001,65.31
20240428162001,39.65
20240428163001,29.76
20240428164001,23.4
20240428165001,23.98
20240430090001,829.82
20240430091001,1022.28
20240430092001,1193.28
20240430093001,1304.68
20240430094001,1330.92
20240430095001,1255.75
20240430100001,1239.19
20240430101001,1026.95
20240430102001,1300.46
20240430103001,1445.14
20240430104001,1460.15
20240430105001,1298.92
20240430110001,1351.96
20240430111001,1401.52
20240430112001,1503.18
20240430113001,1550.6
20240430114001,1579.78
20240430115001,1421.61
20240430120001,862.84
20240430121001,1390.65
20240430122001,897.6
20240430123001,1350.63
20240430124001,1354.95
20240430125001,849.32
20240430130001,864.34
20240430131001,786.13
20240430132001,990.6
20240430133001,1176.37
20240430134001,1078.4
20240430135001,1072.18
20240430140001,935.62
20240430141001,686.06
20240430142001,441.33
20240430143001,303.71
20240430144001,252.06
20240430145001,291.48
20240430150001,131.82
20240430151001,77.39
20240430152001,101.31
20240430153001,58.29
20240430154001,45.73
20240430155001,49.35
20240430160001,40.47
20240430161001,40.65
20240430162001,18.66
20240430163001,16.35
20240430164001,7.08
20240430165001,5.14
20240515090001,808.27
20240515091001,941.75
20240515092001,1030.27
20240515093001,1048.85
20240515094001,1134.51
20240515095001,997.42
20240515100001,1063.94
20240515101001,984.83
20240515102001,948.35
20240515103001,955.12
20240515104001,995.63
20240515105001,1172.95
20240515110001,1385.05
20240515111001,1191.67
20240515112001,1410.06
20240515113001,1267.49
20240515114001,1223.46
20240515115001,1164.04
20240515120001,1282.97
20240515121001,1495.36
20240515122001,1454.84
20240515123001,1485.09
20240515124001,1047.47
20240515125001,1308.6
20240515130001,1253.2
20240515131001,1329.7
20240515132001,1093.64
20240515133001,900.66
20240515134001,528.24
20240515135001,705.01
20240515140001,357.0
20240515141001,206.31
20240515142001,175.56
20240515143001,148.1
20240515144001,125.93
20240515145001,86.58
20240515150001,91.13
20240515151001,61.52
20240515152001,68.37
20240515153001,65.7
20240515154001,41.03
20240515155001,42.0
20240515160001,45.34
20240515161001,46.59
20240515162001,26.84
20240515163001,14.41
20240515164001,12.12
20240515165001,5.28
20240520090001,313.26
20240520091001,276.35
20240520092001,329.73
20240520093001,298.41
20240520094001,160.58
20240520095001,122.94
20240520100001,182.8
20240520101001,222.18
20240520102001,265.72
20240520103001,327.25
20240520104001,266.17
20240520105001,237.39
20240520110001,209.41
20240520111001,257.92
20240520112001,194.16
20240520113001,184.07
20240520114001,183.02
20240520115001,202.45
20240520120001,279.97
20240520121001,211.88
20240520122001,172.22
20240520123001,90.24
20240520124001,122.1
20240520125001,134.72
20240520130001,123.16
20240520131001,80.14
20240520132001,37.26
20240520133001,33.3
20240520134001,30.21
20240520135001,54.19
20240520140001,73.95
20240520141001,64.23
20240520142001,70.31
20240520143001,77.55
20240520144001,85.78
20240520145001,80.35
20240520150001,78.57
20240520151001,73.65
20240520152001,59.73
20240520153001,44.14
20240520154001,32.62
20240520155001,28.79
20240520160001,21.77
20240520161001,22.35
20240520162001,15.81
20240520163001,8.44
20240520164001,7.07
20240520165001,5.88
20240613090001,31.93
20240613091001,57.16
20240613092001,65.32
20240613093001,89.97
20240613094001,74.42
20240613095001,73.09
20240613100001,114.26
20240613101001,165.44
20240613102001,407.64
20240613103001,445.23
20240613104001,273.06
20240613105001,207.76
20240613110001,287.23
20240613111001,251.63
20240613112001,385.73
20240613113001,672.73
20240613114001,829.05
20240613115001,897.6
20240613120001,1028.94
20240613121001,920.5
20240613122001,583.12
20240613123001,908.85
20240613124001,664.92
20240613125001,608.69
20240613130001,1000.48
20240613131001,937.57
20240613132001,931.04
20240613133001,466.81
20240613134001,889.48
20240613135001,1007.83
20240613140001,524.31
20240613141001,286.56
20240613142001,462.49
20240613143001,108.67
20240613144001,48.7
20240613145001,30.3
20240613150001,34.07
20240613151001,42.67
20240613152001,36.42
20240613153001,43.34
20240613154001,59.13
20240613155001,149.45
20240613160001,104.8
20240613161001,31.69
20240613162001,27.96
20240613163001,17.52
20240613164001,15.38
20240613165001,4.19
20240615090001,705.55
20240615091001,863.47
20240615092001,870.83
20240615093001,845.12
20240615094001,856.05
20240615095001,966.78
20240615100001,845.62
20240615101001,1024.3
20240615102001,951.47
20240615103001,1024.66
20240615104001,794.67
20240615105001,998.32
20240615110001,1064.56
20240615111001,931.6
20240615112001,898.65
20240615113001,1054.83
20240615114001,1138.81
20240615115001,1254.67
20240615120001,1211.75
20240615121001,1194.19
20240615122001,1191.5
20240615123001,1076.35
20240615124001,1001.81
20240615125001,1001.28
20240615130001,972.35
20240615131001,926.5
20240615132001,861.36
20240615133001,748.24
20240615134001,860.51
20240615135001,626.05
20240615140001,341.91
20240615141001,539.35
20240615142001,415.21
20240615143001,341.76
20240615144001,325.36
20240615145001,274.3
20240615150001,301.06
20240615151001,272.01
20240615152001,230.29
20240615153001,195.03
20240615154001,165.91
20240615155001,151.29
20240615160001,117.56
20240615161001,100.6
20240615162001,77.72
20240615163001,32.67
20240615164001,54.7
20240615165001,19.92
20240703090001,328.25
20240703091001,716.52
20240703092001,804.52
20240703093001,772.23
20240703094001,772.85
20240703095001,474.45
20240703100001,278.41
20240703101001,251.88
20240703102001,373.6
20240703103001,714.26
20240703104001,926.63
20240703105001,897.76
20240703110001,963.37
20240703111001,1069.26
20240703112001,954.88
20240703113001,1178.43
20240703114001,1180.44
20240703115001,1115.99
20240703120001,1114.17
20240703121001,1063.62
20240703122001,1110.42
20240703123001,1063.2
20240703124001,1030.12
20240703125001,970.93
20240703130001,926.87
20240703131001,961.37
20240703132001,984.91
20240703133001,787.47
20240703134001,794.57
20240703135001,855.56
20240703140001,692.37
20240703141001,615.04
20240703142001,549.79
20240703143001,467.98
20240703144001,445.94
20240703145001,387.84
20240703150001,340.99
20240703151001,306.07
20240703152001,276.64
20240703153001,211.32
20240703154001,157.13
20240703155001,19.85
20240703160001,49.23
20240703161001,30.83
20240703162001,29.07
20240703163001,11.96
20240703164001,17.74
20240703165001,10.3
20240707090001,739.38
20240707091001,760.26
20240707092001,828.68
20240707093001,910.74
20240707094001,963.8
20240707095001,1029.96
20240707100001,1060.87
20240707101001,1131.85
20240707102001,1094.54
20240707103001,1024.67
20240707104001,1098.68
20240707105001,1147.24
20240707110001,831.16
20240707111001,1099.87
20240707112001,1216.05
20240707113001,1221.11
20240707114001,1210.73
20240707115001,1188.56
20240707120001,1205.3
20240707121001,1145.16
20240707122001,1229.52
20240707123001,1169.27
20240707124001,1088.39
20240707125001,1042.04
20240707130001,1022.49
20240707131001,961.96
20240707132001,931.02
20240707133001,800.69
20240707134001,762.76
20240707135001,748.72
20240707140001,690.42
20240707141001,641.02
20240707142001,593.13
20240707143001,564.26
20240707144001,543.02
20240707145001,535.63
20240707150001,392.13
20240707151001,345.76
20240707152001,105.98
20240707153001,66.22
20240707154001,23.04
20240707155001,83.35
20240707160001,39.2
20240707161001,67.34
20240707162001,22.0
20240707163001,26.78
20240707164001,10.69
20240707165001,9.06
20240125090002,10.52
20240125091002,11.92
20240125092002,9.17
20240125093002,8.44
20240125094002,14.06
20240125095002,23.09
20240125100002,23.84
20240125101002,18.15
20240125102002,20.34
20240125103002,22.74
20240125104002,20.82
20240125105002,21.49
20240125110002,27.14
20240125111002,41.01
20240125112002,76.26
20240125113002,126.41
20240125114002,153.07
20240125115002,168.79
20240125120002,187.06
20240125121002,183.32
20240125122002,134.77
20240125123002,134.28
20240125124002,106.2
20240125125002,71.43
20240125130002,46.69
20240125131002,55.52
20240125132002,40.36
20240125133002,37.95
20240125134002,23.42
20240125135002,18.97
20240125140002,15.06
20240125141002,10.7
20240125142002,11.31
20240125143002,5.86
20240125144002,4.44
20240125145002,1.28
20240125150002,1.16
20240125151002,1.58
20240125152002,1.0
20240125153002,0.71
20240125154002,1.17
20240125155002,1.27
20240125160002,0.81
20240125161002,0.01
20240125162002,0.39
20240125163002,0.61
20240125164002,1.39
20240125165002,0.71
20240128090002,0
20240128091002,2.13
20240128092002,6.94
20240128093002,7.74
20240128094002,12.18
20240128095002,37.03
20240128100002,29.33
20240128101002,25.18
20240128102002,28.15
20240128103002,28.67
20240128104002,28.9
20240128105002,24.27
20240128110002,37.69
20240128111002,53.31
20240128112002,62.21
20240128113002,47.6
20240128114002,43.21
20240128115002,47.42
20240128120002,80.61
20240128121002,88.44
20240128122002,86.27
20240128123002,96.47
20240128124002,66.27
20240128125002,42.79
20240128130002,31.24
20240128131002,24.92
20240128132002,22.15
20240128133002,20.91
20240128134002,20.84
20240128135002,21.32
20240128140002,16.82
20240128141002,15.25
20240128142002,13.32
20240128143002,13.93
20240128144002,12.47
20240128145002,10.06
20240128150002,9.46
20240128151002,8.05
20240128152002,7.07
20240128153002,6.92
20240128154002,7.33
20240128155002,7.3
20240128160002,5.43
20240128161002,2.86
20240128162002,2.42
20240128163002,1.63
20240128164002,1.65
20240128165002,0.34
20240213090002,1047.09
20240213091002,969.41
20240213092002,1212.51
20240213093002,1631.01
20240213094002,1714.28
20240213095002,1868.21
20240213100002,1874.17
20240213101002,1957.96
20240213102002,1943.82
20240213103002,1984.02
20240213104002,1996.13
20240213105002,1885.67
20240213110002,1938.43
20240213111002,1973.33
20240213112002,1918.63
20240213113002,1909.67
20240213114002,1932.32
20240213115002,1767.21
20240213120002,1895.51
20240213121002,1705.8
20240213122002,1412.98
20240213123002,778.78
20240213124002,958.32
20240213125002,1145.93
20240213130002,973.58
20240213131002,414.25
20240213132002,274.88
20240213133002,177.53
20240213134002,133.58
20240213135002,136.4
20240213140002,109.42
20240213141002,112.83
20240213142002,119.28
20240213143002,105.82
20240213144002,92.63
20240213145002,102.18
20240213150002,95.64
20240213151002,56.55
20240213152002,45.61
20240213153002,44.94
20240213154002,36.24
20240213155002,33.83
20240213160002,50.21
20240213161002,36.14
20240213162002,18.45
20240213163002,12.1
20240213164002,8.93
20240213165002,8.6
20240226090002,41.13
20240226091002,78.78
20240226092002,67.67
20240226093002,64.02
20240226094002,79.39
20240226095002,96.91
20240226100002,93.73
20240226101002,73.33
20240226102002,106.13
20240226103002,109.84
20240226104002,129.74
20240226105002,137.08
20240226110002,164.6
20240226111002,135.75
20240226112002,99.14
20240226113002,67.54
20240226114002,68.84
20240226115002,65.27
20240226120002,69.53
20240226121002,62.42
20240226122002,70.79
20240226123002,79.12
20240226124002,70.04
20240226125002,63.63
20240226130002,51.6
20240226131002,50.79
20240226132002,46.16
20240226133002,54.49
20240226134002,52.58
20240226135002,46.26
20240226140002,34.03
20240226141002,23.95
20240226142002,27.21
20240226143002,25.52
20240226144002,16.07
20240226145002,18.01
20240226150002,15.93
20240226151002,13.49
20240226152002,10.37
20240226153002,8.6
20240226154002,7.46
20240226155002,6.37
20240226160002,4.77
20240226161002,3.91
20240226162002,3.71
20240226163002,2.66
20240226164002,2.3
20240226165002,1.99
20240319090002,8.8
20240319091002,7.01
20240319092002,4.01
20240319093002,2.48
20240319094002,1.95
20240319095002,4.73
20240319100002,25.36
20240319101002,14.65
20240319102002,35.22
20240319103002,50.46
20240319104002,35.45
20240319105002,40.43
20240319110002,47.12
20240319111002,35.14
20240319112002,32.26
20240319113002,32.85
20240319114002,29.13
20240319115002,18.36
20240319120002,17.95
20240319121002,27.62
20240319122002,24.15
20240319123002,17.45
20240319124002,15.63
20240319125002,6.09
20240319130002,18.93
20240319131002,8.89
20240319132002,10.96
20240319133002,15.2
20240319134002,19.39
20240319135002,19.21
20240319140002,13.7
20240319141002,12.89
20240319142002,13.83
20240319143002,13.68
20240319144002,14.25
20240319145002,15.1
20240319150002,16.72
20240319151002,17.49
20240319152002,11.95
20240319153002,10.78
20240319154002,9.69
20240319155002,7.38
20240319160002,6.01
20240319161002,4.68
20240319162002,4.41
20240319163002,3.22
20240319164002,2.11
20240319165002,1.53
20240427090002,142.61
20240427091002,185.56
20240427092002,93.98
20240427093002,61.41
20240427094002,57.69
20240427095002,70.93
20240427100002,51.69
20240427101002,82.31
20240427102002,115.62
20240427103002,156.09
20240427104002,248.05
20240427105002,207.6
20240427110002,173.81
20240427111002,165.69
20240427112002,137.42
20240427113002,126.5
20240427114002,107.85
20240427115002,89.3
20240427120002,102.89
20240427121002,123.67
20240427122002,122.63
20240427123002,107.93
20240427124002,87.21
20240427125002,81.13
20240427130002,183.76
20240427131002,179.09
20240427132002,125.94
20240427133002,201.68
20240427134002,411.45
20240427135002,319.57
20240427140002,295.03
20240427141002,339.17
20240427142002,245.06
20240427143002,171.88
20240427144002,188.81
20240427145002,185.19
20240427150002,221.07
20240427151002,191.23
20240427152002,97.2
20240427153002,57.96
20240427154002,49.69
20240427155002,65.03
20240427160002,63.17
20240427161002,66.59
20240427162002,42.79
20240427163002,29.3
20240427164002,33.53
20240427165002,22.76
20240508090002,178.1
20240508091002,120.96
20240508092002,89.51
20240508093002,91.12
20240508094002,87.09
20240508095002,89.98
20240508100002,94.17
20240508101002,113.07
20240508102002,94.4
20240508103002,55.18
20240508104002,45.6
20240508105002,48.51
20240508110002,55.07
20240508111002,51.91
20240508112002,72.98
20240508113002,80.74
20240508114002,93.07
20240508115002,117.07
20240508120002,151.97
20240508121002,126.45
20240508122002,198.43
20240508123002,69.97
20240508124002,37.78
20240508125002,21.56
20240508130002,9.1
20240508131002,5.67
20240508132002,2.67
20240508133002,7.55
20240508134002,2.85
20240508135002,3.87
20240508140002,5.53
20240508141002,24.77
20240508142002,35.81
20240508143002,18.94
20240508144002,12.32
20240508145002,10.35
20240508150002,7.61
20240508151002,5.57
20240508152002,5.18
20240508153002,3.38
20240508154002,2.13
20240508155002,2.82
20240508160002,2.93
20240508161002,3.24
20240508162002,2.64
20240508163002,2.03
20240508164002,1.78
20240508165002,1.28
20240705090002,685.88
20240705091002,740.89
20240705092002,805.4
20240705093002,852.2
20240705094002,915.14
20240705095002,952.48
20240705100002,993.68
20240705101002,1054.15
20240705102002,1105.08
20240705103002,1164.43
20240705104002,1119.02
20240705105002,307.05
20240705110002,791.37
20240705111002,378.11
20240705112002,452.02
20240705113002,1243.48
20240705114002,1199.07
20240705115002,1220.54
20240705120002,1205.81
20240705121002,1076.27
20240705122002,1192.79
20240705123002,1135.18
20240705124002,1099.68
20240705125002,1062.75
20240705130002,1033.45
20240705131002,981.13
20240705132002,927.47
20240705133002,908.72
20240705134002,841.28
20240705135002,806.32
20240705140002,724.03
20240705141002,700.22
20240705142002,670.38
20240705143002,386.6
20240705144002,479.79
20240705145002,180.85
20240705150002,236.3
20240705151002,252.66
20240705152002,237.8
20240705153002,215.86
20240705154002,11.74
20240705155002,27.81
20240705160002,43.01
20240705161002,12.81
20240705162002,17.71
20240705163002,14.69
20240705164002,12.45
20240705165002,8.01
20240707090002,686.44
20240707091002,738.84
20240707092002,792.67
20240707093002,852.31
20240707094002,914.41
20240707095002,953.29
20240707100002,1015.67
20240707101002,1070.76
20240707102002,1101.29
20240707103002,1025.43
20240707104002,1112.15
20240707105002,1134.93
20240707110002,847.89
20240707111002,1100.41
20240707112002,1175.58
20240707113002,1203.62
20240707114002,1211.86
20240707115002,1205.55
20240707120002,1189.76
20240707121002,1165.43
20240707122002,1159.49
20240707123002,1129.38
20240707124002,1100.06
20240707125002,1072.16
20240707130002,1035.99
20240707131002,979.82
20240707132002,927.19
20240707133002,891.57
20240707134002,833.74
20240707135002,789.0
20240707140002,718.64
20240707141002,669.96
20240707142002,632.36
20240707143002,584.63
20240707144002,534.21
20240707145002,528.92
20240707150002,410.67
20240707151002,371.92
20240707152002,145.48
20240707153002,88.13
20240707154002,31.57
20240707155002,89.55
20240707160002,26.9
20240707161002,58.1
20240707162002,14.17
20240707163002,20.8
20240707164002,3.53
20240707165002,4.26
20240317090003,1170.16
20240317091003,1274.23
20240317092003,1467.33
20240317093003,1515.45
20240317094003,1593.65
20240317095003,1645.29
20240317100003,1682.65
20240317101003,1715.04
20240317102003,1691.72
20240317103003,1387.62
20240317104003,1423.51
20240317105003,1763.22
20240317110003,1830.96
20240317111003,1817.23
20240317112003,1567.0
20240317113003,1495.16
20240317114003,1531.01
20240317115003,790.32
20240317120003,1126.38
20240317121003,621.22
20240317122003,428.25
20240317123003,406.71
20240317124003,418.62
20240317125003,649.44
20240317130003,452.31
20240317131003,312.31
20240317132003,370.22
20240317133003,292.02
20240317134003,300.59
20240317135003,245.34
20240317140003,131.95
20240317141003,115.54
20240317142003,109.75
20240317143003,79.72
20240317144003,67.46
20240317145003,65.9
20240317150003,64.45
20240317151003,51.88
20240317152003,36.32
20240317153003,45.42
20240317154003,31.43
20240317155003,30.24
20240317160003,32.13
20240317161003,26.01
20240317162003,22.93
20240317163003,16.87
20240317164003,10.76
20240317165003,7.57
20240414090003,986.08
20240414091003,1045.22
20240414092003,1168.03
20240414093003,1287.13
20240414094003,1348.55
20240414095003,1324.62
20240414100003,1319.82
20240414101003,1251.11
20240414102003,1501.25
20240414103003,1581.63
20240414104003,1595.48
20240414105003,1682.29
20240414110003,1699.86
20240414111003,1511.16
20240414112003,1426.67
20240414113003,1456.29
20240414114003,1440.12
20240414115003,1271.17
20240414120003,1149.36
20240414121003,1159.88
20240414122003,905.8
20240414123003,1074.25
20240414124003,536.73
20240414125003,401.56
20240414130003,682.0
20240414131003,549.66
20240414132003,532.32
20240414133003,677.76
20240414134003,734.08
20240414135003,495.99
20240414140003,284.8
20240414141003,246.47
20240414142003,177.53
20240414143003,279.56
20240414144003,175.85
20240414145003,223.52
20240414150003,161.34
20240414151003,133.58
20240414152003,109.62
20240414153003,81.21
20240414154003,82.4
20240414155003,65.1
20240414160003,65.53
20240414161003,72.21
20240414162003,52.37
20240414163003,37.61
20240414164003,28.76
20240414165003,22.88
20240524090003,124.51
20240524091003,170.02
20240524092003,196.02
20240524093003,212.57
20240524094003,224.3
20240524095003,410.38
20240524100003,225.32
20240524101003,193.5
20240524102003,353.79
20240524103003,387.24
20240524104003,348.6
20240524105003,304.22
20240524110003,241.59
20240524111003,199.4
20240524112003,305.86
20240524113003,426.36
20240524114003,298.25
20240524115003,156.71
20240524120003,152.18
20240524121003,195.31
20240524122003,277.1
20240524123003,279.51
20240524124003,382.69
20240524125003,581.63
20240524130003,723.92
20240524131003,543.39
20240524132003,410.5
20240524133003,229.35
20240524134003,168.67
20240524135003,103.2
20240524140003,65.98
20240524141003,41.25
20240524142003,38.39
20240524143003,40.01
20240524144003,18.5
20240524145003,8.09
20240524150003,9.85
20240524151003,7.63
20240524152003,10.73
20240524153003,2.37
20240524154003,2.58
20240524155003,3.18
20240524160003,3.03
20240524161003,1.89
20240524162003,1.52
20240524163003,1.41
20240524164003,1.64
20240524165003,1.67
20240526090003,173.85
20240526091003,251.76
20240526092003,406.98
20240526093003,698.53
20240526094003,653.64
20240526095003,792.99
20240526100003,880.38
20240526101003,836.95
20240526102003,450.14
20240526103003,404.1
20240526104003,570.98
20240526105003,484.65
20240526110003,486.63
20240526111003,552.96
20240526112003,377.3
20240526113003,259.71
20240526114003,195.85
20240526115003,229.2
20240526120003,228.79
20240526121003,227.81
20240526122003,207.26
20240526123003,179.6
20240526124003,179.75
20240526125003,195.32
20240526130003,169.98
20240526131003,188.37
20240526132003,202.41
20240526133003,224.75
20240526134003,113.43
20240526135003,77.44
20240526140003,114.35
20240526141003,142.96
20240526142003,129.81
20240526143003,129.9
20240526144003,126.55
20240526145003,112.22
20240526150003,91.77
20240526151003,91.55
20240526152003,87.43
20240526153003,62.16
20240526154003,49.96
20240526155003,49.48
20240526160003,60.49
20240526161003,60.62
20240526162003,44.27
20240526163003,26.99
20240526164003,18.86
20240526165003,19.53
20240603090003,74.46
20240603091003,84.54
20240603092003,74.89
20240603093003,84.6
20240603094003,52.82
20240603095003,72.86
20240603100003,75.05
20240603101003,46.19
20240603102003,103.37
20240603103003,161.13
20240603104003,222.01
20240603105003,273.88
20240603110003,162.95
20240603111003,153.98
20240603112003,115.77
20240603113003,112.15
20240603114003,117.24
20240603115003,117.51
20240603120003,162.5
20240603121003,154.4
20240603122003,267.79
20240603123003,105.62
20240603124003,79.88
20240603125003,141.81
20240603130003,102.96
20240603131003,138.67
20240603132003,135.67
20240603133003,111.86
20240603134003,61.07
20240603135003,73.65
20240603140003,110.77
20240603141003,104.18
20240603142003,128.49
20240603143003,81.39
20240603144003,61.78
20240603145003,49.27
20240603150003,32.55
20240603151003,22.44
20240603152003,10.7
20240603153003,11.84
20240603154003,12.34
20240603155003,8.83
20240603160003,4.62
20240603161003,4.14
20240603162003,4.41
20240603163003,4.07
20240603164003,4.49
20240603165003,4.12
20240620090003,1050.57
20240620091003,1099.03
20240620092003,735.15
20240620093003,1349.71
20240620094003,1185.59
20240620095003,1141.85
20240620100003,1222.76
20240620101003,1249.05
20240620102003,1183.87
20240620103003,863.6
20240620104003,483.12
20240620105003,568.49
20240620110003,1224.37
20240620111003,1573.85
20240620112003,1667.21
20240620113003,1570.74
20240620114003,1635.25
20240620115003,1535.65
20240620120003,1547.13
20240620121003,1485.52
20240620122003,1476.27
20240620123003,1456.46
20240620124003,1361.16
20240620125003,1315.86
20240620130003,1272.04
20240620131003,1073.19
20240620132003,1005.85
20240620133003,934.64
20240620134003,997.17
20240620135003,926.82
20240620140003,1093.19
20240620141003,831.8
20240620142003,466.35
